Country Name,Country Code,Year,Forest area (% of land area),Urban population (% of total population),Urban population growth (annual %),"Access to electricity, urban (% of urban population)",Renewable energy consumption (% of total final energy consumption),Individuals using the Internet (% of population),Adjusted savings: carbon dioxide damage (% of GNI),Adjusted savings: energy depletion (% of GNI),Adjusted savings: mineral depletion (% of GNI),Merchandise trade (% of GDP),Adjusted savings: natural resources depletion (% of GNI),Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Trade (% of GDP),Forest rents (% of GDP),Mineral rents (% of GDP),GDP (current US$),"GDP per capita, PPP (current international $)",GNI (current US$),"Compulsory education, duration (years)","Probability of dying among children ages 5-9 years (per 1,000)","Probability of dying among adolescents ages 10-14 years (per 1,000)","Probability of dying among adolescents ages 15-19 years (per 1,000)","Probability of dying among youth ages 20-24 years (per 1,000)",Number of infant deaths,"International tourism, number of arrivals","Net bilateral aid flows from DAC donors, United States (current US$)","Net bilateral aid flows from DAC donors, Japan (current US$)","Net bilateral aid flows from DAC donors, Germany (current US$)","Net bilateral aid flows from DAC donors, United Kingdom (current US$)","Net bilateral aid flows from DAC donors, Norway (current US$)","Net bilateral aid flows from DAC donors, Total (current US$)",Current health expenditure (% of GDP),Prevalence of undernourishment (% of population),"International tourism, expenditures (% of total imports)","Communications, computer, etc. (% of service imports, BoP)","Foreign direct investment, net outflows (BoP, current US$)",CO2 emissions (metric tons per capita),Cost of business start-up procedures (% of GNI per capita),Military expenditure (% of GDP),Import value index (2000 = 100),Market capitalization of listed domestic companies (% of GDP),"Listed domestic companies, total",Energy intensity level of primary energy (MJ/$2011 PPP GDP),"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",Research and development expenditure (% of GDP),Researchers in R&D (per million people),"Automated teller machines (ATMs) (per 100,000 adults)","Hospital beds (per 1,000 people)","Physicians (per 1,000 people)",High-technology exports (current US$),"New business density (new registrations per 1,000 people ages 15-64)",Exports as a capacity to import (constant LCU),"International tourism, number of departures"
Mauritius,MUS,2005,19.783251231527093,42.112,0.3288196257367739,99.6215286254883,17.6541004180908,15.17222875,1.18190464284909,0.0,0.0,81.67982477852533,0.0,59.02447635662968,64.22162306342,123.24609942004967,0.0065541488544267,0.0,6488750452.600674,11536.876692444846,6480647713.942813,11.0,1.1,1.4,2.7,4.1,243.0,782000.0,680000.007152557,16549999.2370605,-939999.997615814,-800000.011920929,29999.999329447703,27999999.29219479,3.56529307,5.1,7.137758393536134,27.913430723798776,46964352.2750095,2.4099249829432674,8.8,0.167769653566183,143.0267116,35.85158678844888,30.0,3.10648375729565,100.0,0.36053,,33.8544539698403,3.0,,,,124838505289.02568,183000.0
Mexico,MEX,2005,34.806620540651764,76.308,1.824208785244292,99.605581,10.3066997528076,17.21,1.2611902918257,4.5726917081766,0.101401264633616,50.42267690207122,4.674092972810216,26.23255038099508,27.70558172477637,53.93813210577144,0.0555645508634861,0.194879721942784,877476221382.1012,12657.637672180785,859156840951.0089,11.0,1.4,1.6,3.5,5.0,44987.0,103146000.0,128399993.896484,11810000.4196167,25299999.237060502,-9670000.07629395,529999.971389771,168159994.57426327,5.83612156,4.4,3.651985860454806,18.40221738594043,6473995841.0,4.078950882399645,,0.355958931017501,127.1786778,27.251786905786773,150.0,4.51428861231733,99.9401651559611,0.39844,414.33815,31.6928246185654,1.05,3.5303,,,3800501412915.623,128392000.0
Micronesia  Fed. Sts.,FSM,2005,91.42142857142858,22.33,-0.4588612315679744,77.1401672363281,1.08029997348785,11.8813691,1.08710459468848,0.0,0.0,59.53287073495927,0.0,16.71599104849372,75.80356390134484,92.51955494983856,0.0101362707690216,0.0,250281900.0,2910.624802401811,258632900.0,,3.9,3.0,5.8,7.3,80.0,19000.0,94080001.8310547,8020000.45776367,,,,104410002.28561462,17.73306656,,,,,1.5075140151693598,127.6,,121.9689022,,,5.02673665170692,100.0,,,3.08180655500254,3.3,0.5844,,,,
Moldova,MDA,2005,10.928853754940713,42.775,-0.7447576029616646,99.4,4.26690006256104,14.63027046,3.35306540282638,0.0232787978496875,0.0,113.20632848188676,0.0232787978496875,51.1635849357272,91.85998353341124,143.0235684691384,0.156072558764837,0.0,2988348836.470999,4920.41306115406,3392191815.613194,9.0,1.8,1.7,3.0,4.5,731.0,67000.0,30090000.1525879,3710000.03814697,7809999.94277954,2960000.03814697,2759999.99046326,126189999.72194436,9.55814838,,6.681181861770277,29.920593901235726,-160000.0,2.832301113080488,14.6,0.400235111834687,294.980695,,,12.2731303035137,100.0,0.39865,719.51143,13.1727448260858,6.39,2.3783,,,25722453270.656315,
Monaco,MCO,2005,0.0,100.0,1.0187047007225098,100.0,,55.46482606,,,,,,,,,0.0,0.0,4203084193.50827,,,,0.5,0.6,1.8,2.6,1.0,286000.0,,,,,,,2.11639619,,,,,,,,,,,,,0.03821,295.48208,,,,,,,
Mongolia,MNG,2005,9.155681145240608,62.494,2.892071903780545,97.9,5.33690023422241,,8.04888290447672,1.60203695017132,7.11827676675937,89.12325625515896,8.72031371693069,58.76938379346021,63.61207609631271,122.38145988977293,0.363503061186232,11.3598576110185,2523471532.0108323,5424.230118403577,2471681099.479468,9.0,2.5,2.3,4.3,7.3,1653.0,345000.0,18530000.6866455,56479999.5422363,28170000.0762939,270000.010728836,1730000.01907349,141800000.15720716,3.75525045,29.6,9.065154017187432,27.691904854501416,2300000.0,4.3777204900672055,9.6,1.01728588491723,192.7257933,,,8.20912652356818,97.7964903488339,0.23776,,,,,,,,
Montenegro,MNE,2005,46.54275092936803,62.465,0.690419032192582,100.0,47.6142997741699,27.1,2.0944817088159,0.0859203494884308,0.0120610392301565,,,43.54912468030198,61.07601457635673,104.62513925665873,0.0,0.345152197000704,2257174480.785972,8313.65223425161,2282062056.95809,9.0,0.8,0.9,2.2,3.1,75.0,272000.0,,,,,,,,5.5,,,,3.272224673225225,,2.69436332580307,,,,6.52962815498325,100.0,0.92443,,14.276594746621,4.18,1.9517,,,,
Morocco,MAR,2005,12.526450817835538,55.174,2.08911466424416,94.7811508178711,20.1534996032715,15.08444452,1.71336633752009,0.0042153900430368,0.168836787196988,51.29683906904946,0.1730521772400248,30.91915923176065,36.99569525984075,67.9148544916014,0.143396301256324,0.585332085106354,62343022650.87422,4793.26702800313,62069051539.76312,9.0,2.7,1.9,3.3,4.0,22741.0,6077000.0,-14909999.8474121,-54189998.626709,61750000.0,,109999.999403954,581649994.4124374,4.76469755,5.5,4.8629051358199895,40.91163961350709,74115211.0082399,1.46081686291598,13.4,3.25799678207968,180.2567108,,54.0,3.74418322714536,100.0,,,14.8558071554064,0.87,,,,190899098491.22705,2247000.0
Mozambique,MOZ,2005,50.967814542587554,29.999,3.4930606116654737,35.9265670776367,93.5870971679688,0.854357118,0.517518652287479,0.73353941531553,0.0011305397747773,49.063048490277,0.7346699550903073,27.09534884194573,41.50737397605207,68.6027228179978,6.66764584879036,0.002729982436135,8542070109.709033,697.4311011665521,8182227349.204285,,16.0,11.2,15.9,22.0,75171.0,954000.0,85360000.6103516,14770000.4577637,42639999.3896484,80839996.3378906,67940002.44140631,924580008.5533414,4.39079046,33.3,6.468574354951719,34.3297603974465,14560436.7499999,0.0834393525457566,95.0,0.9462318811920348,207.9615717,,,22.8796197252375,100.0,,,2.21701160191553,,,,,73096946987.78012,
Myanmar,MMR,2005,50.74469664503489,27.946,1.45833471035927,84.7566223144531,79.7276000976563,0.065238856,2.24890235060329,4.49696313949317,0.268280341272195,53.68121952547491,4.765243480765365,,,,5.0708642540429,0.483871211964936,10588433068.85494,1617.6267800703406,9205291981.77704,5.0,10.3,5.2,9.3,10.7,63651.0,660000.0,4110000.1335144,25489999.7711182,4349999.90463257,10579999.9237061,5849999.90463257,103079998.59005225,2.3303194,27.8,1.6869742202512183,54.54622266396978,,0.226353740927643,,1.35460116507252,80.4815913,,,5.68167363538123,100.0,,,,,0.3797,,,,
Namibia,NAM,2005,9.357622465959746,36.632,4.262697319899554,72.113525390625,34.5369987487793,4.010046644,0.752933117778787,0.0,0.472348263295262,64.11075194305374,0.472348263295262,40.40857633519113,40.271803958790485,80.68038029398161,0.432345947753825,0.770508728130621,7248394160.35502,6861.146128716792,7128945759.044079,7.0,8.1,6.4,11.8,19.3,2214.0,856000.0,28870000.8392334,389999.98569488496,21440000.5340576,1289999.96185303,1629999.99523163,95250001.49570404,10.19230366,18.2,,30.093306753150408,-10389182.9390164,1.3052567280051344,18.8,2.6452053014553,166.3154057,1.6739956094503694,9.0,3.76193101918585,100.0,,,,,,,,32012220224.82693,
Nauru,NRU,2005,0.0,100.0,-0.5872245283893607,97.5579833984375,0.0,,,,,,,,,,,,,4413.984696748315,,10.0,4.2,3.2,6.1,7.7,10.0,,,1240000.00953674,,,,9020000.226795675,10.30554104,,,,,7.10804224207961,,,96.15384615,,,,,,,,,,,,,
Nepal,NPL,2005,40.95845831880014,15.149,3.3251600614795285,88.1256103515625,89.5190963745117,0.826551266,0.878878921023928,0.0019740540264946,0.0,38.69495880640367,0.5775241247256756,14.583686792939403,29.479260686921883,44.062947479861286,0.787905769640702,0.0,8130258041.467058,1666.2484579123516,8152824772.642942,,6.1,3.7,6.1,7.9,30906.0,375000.0,52049999.237060495,63380001.0681152,63069999.6948242,61630001.0681152,25120000.8392334,357070002.4310497,3.94221067,16.8,8.151394738751733,19.407595192042383,,0.1239099613509681,69.9,1.9291613759865296,145.1532104,,,8.85274049406791,100.0,,,,,,,,134607874719.70695,373000.0
Netherlands,NLD,2005,10.855746445497632,82.63,1.5934688036883131,100.0,2.74169993400574,81.0,0.625641284054078,0.312958077043095,0.0,112.42187459043026,0.312958077043095,65.63208521591699,57.17457245912472,122.8066576750417,0.0019594730682368,0.0,685092650167.8895,37625.56170849576,675626165899.7637,13.0,0.5,0.6,1.4,1.9,866.0,10012000.0,,,,,,,9.09671688,2.5,,66.12006619920308,266586385887.185,10.292362658815623,13.0,1.3964852790883,167.0995128,86.53364035575612,237.0,4.76817922265993,100.0,1.77388,2923.78188,55.858922836517,4.5,2.6997,,,402286928088.6448,17039000.0
New Caledonia,NCL,2005,45.86624726477024,63.965,2.498664675380633,100.0,5.07639980316162,32.35901475,,,,45.95560639836212,,21.467195858955325,40.443131144888746,61.91032700384407,,,6238629461.545265,,,,,,,,,101000.0,,,,,,,,9.6,,57.39569223177892,30615372.8004844,,,,192.3195757,,,,,,,,,,,,,96000.0
New Zealand,NZL,2005,37.405643538035015,86.341,1.1982972553914122,100.0,29.369800567627,62.72021237,0.739194524643875,0.399202271896,0.0328209514675202,41.79650091753253,0.4320232233635201,28.285165432038152,29.7335780086782,58.01874344071635,0.497596704260018,0.0945298892180608,114720129550.09506,25677.4190803252,107308148278.53271,10.0,0.7,0.9,3.2,3.5,325.0,2366000.0,,,,,,,8.27334881,2.5,7.985101697166552,27.84799836804298,-640852200.042145,8.287573477829651,0.2,1.27709338888961,188.5687202,35.38390355658935,153.0,5.34330433966197,10.2826206003298,1.12043,3140.23826,62.2522167524138,,2.1052,,,47995864807.54226,1872000.0
Nicaragua,NIC,2005,39.83492604287851,55.935,1.6394290626036954,95.431992,53.0708999633789,2.566351177,1.62632491018623,0.0,0.10125849020214,72.92762610304287,0.480362067966772,24.3821308946094,47.26359281268972,71.64572370729911,0.958060762409066,0.136770969897888,6321335612.222335,3392.562178327675,6171335217.799239,6.0,2.6,2.9,5.5,8.1,3373.0,804000.0,102610000.610352,49229999.5422363,24530000.6866455,6139999.8664856,13989999.7711182,563839997.4703794,6.22468948,23.3,5.678631519910264,18.45158411423472,,0.7906312767849328,139.7,0.700404064217207,164.0910352,,,5.87210845889532,99.9361038363508,,,4.58393443416951,0.9,0.4996,,,32896834453.777573,740000.0
Niger,NER,2005,0.999447382963606,16.242,3.6971579445289207,45.6650733947754,87.5431976318359,0.221341351,0.356714627519782,0.0362396141588441,0.149840417278187,32.66933326410343,5.943588528838621,14.411416011146011,23.93632579592755,38.34774180707357,6.87394099417757,0.220849423479795,4383315656.990955,896.3526938228554,4657521343.99376,,26.9,17.0,15.4,20.6,54068.0,58000.0,29200000.762939498,23680000.3051758,24770000.4577637,7960000.03814697,6000000.0,333090003.0359627,5.67636585,,4.003031664976675,10.874814829846391,15024892.0855227,0.0557819700048603,465.4,0.973576678730389,238.5904189,,,6.98490572389329,100.0,,7.41313,,0.3,,,,436774190007.8091,
Nigeria,NGA,2005,26.435334936372524,39.074,4.816457888227919,83.8068771362305,84.0291976928711,3.549155718,1.51481055221918,10.4179186815686,0.0001636893772816,40.43567100058755,10.644148007033037,21.033955285697527,12.025504783952966,33.05946006965049,1.3890055775549,0.0012846361576636,176134087150.3409,3467.105156040149,162766907206.51337,9.0,19.1,9.5,11.6,15.0,547409.0,2778000.0,98959999.0844727,69160003.6621094,1180869995.11719,2200889892.57813,2930000.0667572,6068929892.757917,4.46591902,7.1,1.5355580741611154,53.42263674336552,14635077.179342,0.7088898575994095,,0.3974229371740689,237.9691101,12.629014837436564,215.0,7.6481289821619,100.0,,,0.680126454428689,,0.2824,,,17021477207503.402,
North Macedonia,MKD,2005,37.71097129374754,57.532,-0.0987699048755907,100.0,18.9519996643066,26.45,4.26178137421927,0.302862903034372,0.114231609625205,84.18814749373475,0.417094512659577,34.80760065748735,51.03340282123023,85.84100347871757,0.161589373395467,0.29950589415255,6258600713.826275,7848.882967087191,6149435137.783892,9.0,0.9,1.0,2.0,2.6,294.0,197000.0,43659999.8474121,11270000.4577637,28889999.3896484,2779999.97138977,12539999.961853,213609999.7032434,7.67907524,5.0,3.043335573776825,45.99031435021705,51098471.08,4.595319745391793,10.4,2.02926330577443,154.1642986,,,6.06745556231629,100.0,0.22825,540.21967,9.55000614363453,4.7,2.1317,,,107363000000.0,
Northern Mariana Islands,MNP,2005,67.69565217391303,90.558,-1.1301310596097818,99.762451171875,0.0,,,,,122.24316682375118,,95.85296889726672,78.69934024505184,174.55230914231856,0.0,0.0,1061000000.0,,,,,,,,,507000.0,,,,,,,,,,,,,,,99.72068327,,,,100.0,,,9.55004099826518,,,,,1425017964.0718565,
Norway,NOR,2005,33.149072948494705,77.675,1.037036357915938,100.0,58.5881004333496,81.99,0.315929778025577,8.75745629837871,0.0004626421404995,51.55555274984208,8.75791894051921,43.40254484074519,27.411033338408743,70.81357817915394,0.0331287646173504,0.0043566084989529,308884284051.22235,47797.5299472052,312276755917.7338,10.0,0.5,0.6,2.0,3.1,190.0,3824000.0,,,,,,,8.32839584,2.5,12.399891630053633,30.36130872749564,31735027706.5135,7.866690632279041,2.7,1.58146761762765,161.3448334,61.860887674140585,191.0,3.82157358551907,10.1724014195595,1.48239,4576.56177,58.7639709053768,5.16,3.6124,,,1123787438970.734,3166000.0
Oman,OMN,2005,0.0096930533117932,72.4,3.446845045997302,99.8794403076172,0.0,6.68358142,2.31056407088587,33.6725837068297,0.006962409583975,89.00008817653125,33.68074355582087,63.16428921105668,35.94670509371672,99.1109943047734,0.001210595965148,0.009340136710565,31081991677.50325,43244.72239014896,30059885045.513653,,1.4,1.4,2.9,3.5,602.0,1101000.0,-1440000.05722046,3720000.02861023,230000.004172325,,,3720000.002533197,2.5871408,9.6,7.723219688858656,36.29779071305714,233550065.019506,11.098041058371637,5.0,8.81214185642884,174.8366985,49.1246833807354,235.0,3.98399516791547,100.0,,,,2.1,1.6653,,,10650634521.86265,2496000.0
Pakistan,PAK,2005,5.581277241594022,33.982,2.8896673890209548,95.2499771118164,47.962100982666,6.332329098,2.69794818386462,1.44671183652219,0.0144450781967512,34.49077446951346,1.5729023875217072,14.310345746972366,17.844083391499023,32.15442913847139,0.116831894197172,0.0269832688473677,120055291992.93771,3357.3634258246248,117669281992.5334,12.0,7.8,6.3,7.9,10.2,384015.0,798000.0,323070007.324219,73779998.7792969,34110000.6103516,63119998.9318848,82680000.3051758,837100008.8993464,2.70793724,17.6,5.988003497841176,45.27133825079031,45000000.0,0.7589953755803497,,3.89701939256291,233.4045158,37.74700743942699,639.0,5.1859515656512,100.0,0.39849,79.15585,1.1639304359516,0.7,0.7882,,,1196299696404.6982,
Palau,PLW,2005,87.1086956521739,71.152,0.698605635683675,99.6992983628466,0.0,,2.46911012135756,,0.0,61.9575758625886,,,,,0.0,0.0,190452900.0,12515.579856757606,207038900.0,12.0,2.9,2.5,7.9,13.1,7.0,81000.0,13100000.3814697,9340000.15258789,,,,23380000.53726134,9.34274673,,12.949333131113328,14.17616675548925,0.0,13.141932875050546,4.7,,82.75295043,,,12.4560950387637,,,,,,,,,,
Panama,PAN,2005,58.98661555017487,63.682,2.308896134986015,97.5040588378906,22.7658004760742,11.48400928,1.04487020719911,0.0,0.0,101.6831529868107,0.0,64.50079291179138,71.1935236882264,135.69431660001777,0.0972217882047119,0.0,16374393900.0,10527.455552395202,15207493900.0,11.0,1.9,1.9,4.2,6.2,1421.0,1070000.0,7500000.0,2109999.89509583,1129999.99523163,50000.0007450581,19999.9995529652,24539999.771863226,6.09434938,21.6,3.625185697334368,15.625705895640388,186800000.0,2.137995605097798,14.4,0.0,284.1329505,36.41539367145675,27.0,3.17260679296318,96.9250338519938,0.23183,103.29657,,2.2,1.3477,,,11883951152.2364,285000.0
Papua New Guinea,PNG,2005,79.999173696065,13.109,2.052234567364516,66.8972549438477,58.5643997192383,1.716190476,2.25062944021478,9.64171271268157,9.52188269665375,102.79716443619982,19.16359540933532,,,,3.49867061629865,13.8116048155958,4865892972.275951,2335.162197321481,4527603062.540297,,6.9,4.7,8.2,10.0,10265.0,,29999.999329447703,-5159999.84741211,2400000.09536743,,469999.998807907,257600006.48908296,2.44874048,27.4,2.0875258485611425,61.25368777076482,8220054.26420181,0.7513585270416705,27.7,0.416637769353025,150.1989574,126.15176772227376,9.0,11.3640205095224,100.0,,,3.62003504598963,,,,,,
Paraguay,PRY,2005,53.56388119808708,57.633,2.189863693679461,98.394309,68.8097991943359,7.907007861,0.950885384490691,0.0,0.0,63.96274626009967,0.0,47.59359211198475,37.428371542060994,85.02196365404573,1.56530977844911,0.0,10737500188.112309,7485.299217373501,9363307348.173586,9.0,2.1,2.7,5.5,8.1,3487.0,2648000.0,9149999.61853027,27469999.3133545,2529999.97138977,-219999.998807907,670000.016689301,60719999.03768303,4.82934666,9.5,3.228872035645162,6.8001945502008025,-28200000.0,0.6352918350404656,111.5,0.7214803997820289,164.3612184,,,4.67408590666942,100.0,0.06091,71.97684,,1.2,,,,49254591025400.63,188000.0
Peru,PER,2005,58.33891796875,75.034,1.3930377918532904,94.65564,38.3468017578125,17.1,1.20951986575965,0.81112131119703,4.55979267738899,39.27131474103586,5.37091398858602,26.84876111170932,20.50855636513007,47.35731747683939,0.15654208111814,6.27793331679305,76060606060.60606,6610.891705648925,71336034731.7014,12.0,2.6,2.2,4.1,5.6,12665.0,1938000.0,155190002.44140598,43470001.220703095,38979999.5422363,3329999.92370605,3339999.91416931,434030002.8156487,4.66595268,18.8,6.497168740364878,26.40193192603826,0.0,1.125021262363571,38.5,1.60472772277956,168.6014675,31.737480478087647,193.0,2.74787186095969,100.0,,,11.3696847449935,,,,,73985260515.31357,1841000.0
Philippines,PHL,2005,23.72636415467685,45.71,1.7035813985201032,91.6937789916992,31.4325008392334,5.397636329,1.47465961296212,0.343499744477183,0.0738972105045781,84.47405728831048,0.620194585918113,41.23003921636108,42.6156353556271,83.84567457198818,0.257029181447252,0.136607754202193,107419961717.11864,4370.373887422611,117903897296.02164,10.0,2.6,2.4,4.0,6.4,62068.0,2623000.0,96760002.1362305,276429992.675781,49430000.3051758,6380000.11444092,2390000.10490417,554109994.297847,3.74253011,14.9,7.507300589724494,15.713600464028858,794117296.734485,0.9047074220795248,33.2,1.33179525044756,133.6511763,37.049650143058656,235.0,3.94546367956466,99.9999999999861,0.10692,79.883,11.432779187704,,1.2289,,,2670682268791.3936,2144000.0
Poland,POL,2005,30.013384258805864,61.452,-0.2260396058409109,100.0,7.21619987487793,38.81,2.33745259743548,0.180992890065046,0.108500035405872,62.41369751547151,0.289492925470918,34.611571582889965,35.918952479985464,70.53052406287543,0.171099815545296,0.247813590976688,306144336269.51013,13896.793380251296,300725081131.20074,10.0,0.8,0.9,2.3,3.4,2454.0,64606000.0,,,,,,,5.80689144,2.5,5.363373814491222,40.2381111631329,4134000000.0,7.895885925082231,19.9,1.92612986992008,207.3036442,30.713783944453976,234.0,5.95020390600494,99.9999999999948,0.56282,1620.11735,27.5750461668361,6.52,2.1267,,,429030264562.0426,40841000.0
Portugal,PRT,2005,35.71116212966,57.522,1.260433270124597,100.0,18.0743999481201,34.99,0.779568294611229,0.0,0.0443661469919382,52.06350936783771,0.0443661469919382,27.08416754595368,35.86033701449834,62.94450456045203,0.0859364711484161,0.0784090479502274,197180330804.62628,22725.277494608355,194561319487.62592,9.0,0.8,0.9,2.2,3.2,397.0,10612000.0,,,,,,,9.65306759,2.5,5.301724024842732,33.59963487503727,2735794685.94519,6.233261260952479,13.4,2.0473038824416303,153.5209203,33.96555819066952,51.0,3.94346602499655,58.4339069902972,0.75755,2010.3974,154.402092140467,3.56,3.4999,,,44511359698.2282,
Puerto Rico,PRI,2005,51.89402480270575,94.112,-0.2037207647740716,100.0,0.552799999713898,23.40005045,0.0962586090183486,0.0,0.0,,,67.38190139684441,46.36289333155023,113.74479472839464,0.0,0.0,83914521300.0,29332.6521339588,54861880300.0,16.0,,,,,,5073000.0,,,,,,,,,,,,,2.2,,,,,0.169998912875921,62.3853211009174,,,,,,,,,1410000.0
Qatar,QAT,2005,0.0,97.396,14.184448902385324,100.0,0.0,24.73349378,3.05023443877601,22.3099474540475,0.0,80.44599638474683,22.31008916817868,65.08504482050206,29.660499349131044,94.7455441696331,0.0001235245802583,0.0,44530494505.49451,109856.95291908526,38814835164.83517,9.0,1.3,1.4,4.1,3.7,129.0,,,,,,,,2.56300044,,,,351913999.9,47.699934135265366,,1.99301626863922,309.3788438,,,7.2594045476106,100.0,,,53.8684164309001,2.43,2.4844,,,,
Romania,ROU,2005,28.00460909644317,53.174,-0.3708713581030289,100.0,18.5098991394043,21.5,2.34523153082848,1.08233733615665,0.0173817212751709,69.277872802209,1.0997190574318207,24.535220606152297,34.825328842903154,59.360549449055455,0.260304689114913,0.0318115978350197,98452791982.7024,9602.10475909396,95560240107.08035,10.0,1.6,1.4,3.1,3.2,3392.0,5839000.0,,,,,,,5.52778149,2.5,3.1322080053219,42.11905203740661,330392306.048247,4.493968836781594,5.3,1.9819352759899893,308.1763105,16.107049562176083,59.0,5.30976388622827,100.0,0.41262,1071.93762,24.2369534605961,6.78,2.2126,,,70382200000.0,7140000.0
Russian Federation,RUS,2005,49.58077733330322,73.463,-0.3201789545086017,100.0,3.61420011520386,15.2266732,5.03366749232793,9.28510956649633,0.221495184319334,48.32771362544895,9.506604750815663,35.20306596462941,21.51018252512545,56.71324848975486,0.404013196798603,0.562873253432644,764017107992.3915,11822.3469289417,745490707990.9773,9.0,1.9,2.0,5.8,11.5,16556.0,22201000.0,,,,,,,4.77177525,2.5,10.932391227332694,40.48966577689089,17879650000.0,10.666545781238131,,3.3301031922407702,279.5996612,,414.0,9.8375121772105,95.8159780871097,1.06797,3233.59197,22.8180193995303,11.01,7.1251,,,20567968656124.586,28416000.0
Rwanda,RWA,2005,11.187677340899878,16.912,1.846708976634322,25.1,89.252799987793,0.556041165,0.422175376937516,0.0,0.0004839676294142,20.32594095943216,5.540792403135464,10.69381990700973,23.541455869361204,34.23527577637093,5.90552757170034,0.0006651022810042,2932213574.709953,935.3004227139912,2905032890.3848643,6.0,20.4,13.4,11.4,14.2,21280.0,,57130001.0681152,2849999.90463257,18500000.0,81949996.9482422,4500000.0,372449995.5773352,8.77702618,35.3,,,,0.0576908719466257,200.1,1.7430555555555598,201.8554738,,,7.69074149187237,100.0,,,0.235496136391512,,0.024,,,292387023173.19257,
Samoa,WSM,2005,59.68197879858658,21.218,-0.4944094826865582,98.3294906616211,48.8942985534668,3.352592112,0.870202998382796,0.0,0.0,70.0219918863808,0.0,29.224094548468926,48.839890349643255,78.06398489811218,0.309671779552273,0.0,465568018.30055714,4818.855835640736,430797586.9829908,8.0,2.6,1.2,4.8,7.1,87.0,,839999.973773956,12520000.4577637,,,,32880000.49814589,4.76252794,3.4,7.935689868017365,44.41834378209076,,1.057188324189582,46.4,,264.7710151,,,3.95699515531952,100.0,,,11.9764892303724,1.0,0.2782,,,337900582.1422191,52000.0
San Marino,SMR,2005,16.666666666666664,94.453,1.6270582969721947,100.0,,50.2595642,,,,,,,,,0.0,0.0,1785847531.401567,64812.44830176162,,10.0,0.5,0.5,1.6,2.4,1.0,2107000.0,,,,,,,4.93253946,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,STP,2005,60.65625,59.165,4.437565661960452,66.388801574707,47.9429016113281,13.75948422,1.34000109963768,0.0,0.0,41.77345933271416,0.0,,,,2.72390315294007,0.0,136450274.67323357,2250.6334363544893,133522759.9924228,6.0,6.2,5.1,7.2,12.2,239.0,15800.0001907349,140000.000596046,1529999.97138977,9999.99977648258,,119999.997317791,23599999.90276996,11.51630402,9.0,0.9494129238995298,16.593869377975697,14552928.9200481,0.5080268238162975,277.3,,167.0701067,,,5.72773369060737,100.0,,,,,,,,,
Saudi Arabia,SAU,2005,0.4544841349217794,80.979,3.1900736460891346,100.0,0.0083999997004866,12.70503599,2.78975732323827,16.9504818503422,0.0127435254073855,73.1200813725674,16.963225375749584,57.05072712270285,24.90332602538693,81.95405314808978,0.0007478268114621,0.0178814080304799,328459700114.75543,47161.12883973005,331174439513.2236,9.0,1.7,1.8,6.0,5.9,8117.0,10417000.0,419999.986886978,5179999.82833862,1230000.01907349,,,13210000.000894072,3.4186728,4.8,,45.94804093939512,-349866666.666667,12.97311596005656,72.0,7.73059923701991,196.6356902,,77.0,5.34321706246216,100.0,0.0423,,29.1325374249605,2.25,,,,816362602893.9697,5009000.0
Senegal,SEN,2005,44.98343115358646,41.714,3.5404388588217484,80.4,41.2286987304688,4.786684083,1.23515278914371,0.0001910764110087,0.0432515954179975,46.107593230774455,0.0434426718290062,19.80663757070128,35.096605998247234,54.90324356894851,1.89928768164553,0.073553153620914,11009032665.387596,2379.570338838688,10919437127.412289,11.0,15.9,9.7,10.6,9.7,22376.0,779000.0,44729999.5422363,27950000.762939498,34310001.373291,6909999.84741211,750000.0,476920011.7848812,3.67466164,17.2,3.895777856419548,28.395639358068607,115597976.850872,0.5112657452040883,108.7,1.12860151300858,225.2534332,,,4.9061381021133,100.0,,,,,,,,1363605141380.0632,
Serbia,SRB,2005,28.31008461010748,53.883,0.1124266490939486,99.7645673925839,16.0974006652832,26.3,,0.465190431823225,0.0353548089308185,,,27.96497848340085,45.05195107006881,73.01692955346965,0.0,0.0616910659330037,27683225959.24681,9181.688301362268,27360301086.132103,8.0,0.9,0.9,2.2,3.4,820.0,453000.0,185710006.7138669,121580001.831055,67809997.55859381,93000000.0,34000000.0,962150010.5261804,8.27808189,2.5,,,,6.922671567952183,12.0,2.27394357995566,313.5273511,25.27382469911523,,8.55572734472963,100.0,0.3953,,13.8386358841615,5.9,2.2609,,,909170171992.134,
Seychelles,SYC,2005,73.26086956521739,51.67,1.0118050987989675,99.0539855957031,0.940199971199036,25.41326815,1.72434693494166,0.0,0.0,110.43372928779058,0.0122459690052574,78.30134190680208,100.0070978275089,178.30843973431098,0.0908518526418116,0.0,919103254.5454544,15424.327400040433,928911545.4545456,10.0,1.6,1.5,3.6,4.2,20.0,135000.0,9999.99977648258,1259999.99046326,90000.0035762787,19999.9995529652,,9340000.176802283,4.97854805,,6.667465421035436,30.60770226742351,2540045.45454546,8.448188467015859,31.7,1.60235235107661,197.3380117,,,6.53453218465356,100.0,0.30209,146.64741,33.7772630766261,,1.1725,,,,52000.0
